,Reciept ID,Product,Quantity Ordered,Price Each,Date
127,11127,Japanese Rolled Cake (Slice - Ube),1,4.0,01/24/19 07:19
128,11128,Green Tea Yakult Refresher,3,5.0,01/06/19 09:11
129,11129,Katsu Sando (Cripsy Chicken Katsu Sandwich),1,7.5,01/14/19 10:30
130,11130,Dalgona Coffee (Original - Cold),1,3.0,01/09/19 10:27
131,11131,Dalgona Coffee (Matcha - Hot),1,3.0,01/10/19 09:50
132,11132,Macaroon (Chocolate),1,2.75,01/15/19 11:30
133,11133,Green Tea Banana Bread (Loaf),1,4.75,01/10/19 09:51
134,11134,Tea (Green Tea),7,1.75,01/12/19 11:07
135,11135,Mango Yakult Refresher,1,4.75,01/26/19 10:28
136,11136,Latte (Matcha),1,4.75,01/13/19 07:31
137,11137,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,01/19/19 09:05
138,11138,Tea (Green Tea),1,1.75,01/15/19 09:59
139,11139,Tea (Green Tea),1,1.75,01/14/19 08:38
140,11140,Tea (Lavender),1,2.0,01/04/19 07:50
141,11141,Green Tea Yakult Refresher,1,5.0,01/13/19 08:21
142,11142,Latte (Matcha),1,4.75,01/23/19 13:59
143,11143,Katsu Sando (Cripsy Chicken Katsu Sandwich),1,7.5,01/08/19 11:41
144,11144,Milk Bread (Slice),12,1.25,01/25/19 08:38
145,11145,Donut (Matcha),1,2.5,01/31/19 10:35
146,11146,Portguese Tart Egg Tarts (6),1,11.0,01/22/19 07:20
147,11147,Macaroon (Chocolate),2,2.75,01/01/19 10:43
148,11148,Mini Cheese Tart (Orginal),1,3.75,01/08/19 05:18
149,11149,Dalgona Coffee (Chocolate - Cold),1,3.25,01/05/19 07:58
150,11150,Latte (Matcha),1,4.75,01/11/19 10:17
151,11151,Milk Bread (Slice),3,1.25,01/31/19 06:13
152,11152,Green Tea Yakult Refresher,1,5.0,01/23/19 05:47
153,11153,Peach Yakult Refresher,1,4.75,01/03/19 11:00
154,11154,Japanese Rolled Cake (Roll - Chocolate),1,12.0,01/05/19 05:57
155,11155,Macaroon (Green Tea),2,3.0,01/23/19 10:37
156,11156,Green Tea Yakult Refresher,2,5.0,01/05/19 09:19
157,11157,Dalgona Coffee (Matcha - Cold),1,3.25,01/08/19 06:51
158,11158,Japanese Cheesecake (Slice - Original),1,3.75,01/14/19 08:03
159,11159,Peach Yakult Refresher,3,4.75,01/01/19 12:24
160,11160,Japanese Rolled Cake (Slice - Matcha),1,4.0,01/18/19 13:00
161,11161,Peach Yakult Refresher,1,4.75,01/06/19 07:58
162,11162,Latte (Matcha),1,4.75,01/03/19 06:21
163,11163,Mini Cheese Tart (Matcha),1,3.75,01/08/19 08:03
164,11164,Americano (Hot),2,3.5,01/05/19 08:09
165,11165,Green Tea Yakult Refresher,2,5.0,01/14/19 10:03
166,11166,Macaroon (Pistachio),4,3.0,01/01/19 05:22
167,11167,Dalgona Coffee (Matcha - Cold),1,3.25,01/24/19 09:40
168,11168,Portguese Tart Egg Tarts (Single),1,2.0,01/05/19 13:03
169,11169,Macaroon (Chocolate),1,2.75,01/22/19 04:17
170,11170,Donut (Ube),3,2.5,01/30/19 07:58
171,11171,Tea (Rose),1,2.0,01/21/19 09:18
172,11172,Tea (Earl Grey),2,1.75,01/25/19 08:11
173,11173,Dalgona Coffee (Matcha - Cold),2,3.25,01/02/19 13:14
174,11174,Latte (Matcha),1,4.75,01/26/19 11:11
175,11175,Japanese Rolled Cake (Roll - Matcha),1,12.0,01/31/19 10:42
176,11176,Japanese Rolled Cake (Slice - Ube),2,4.0,01/25/19 07:25
177,11177,Americano (Hot),2,3.5,01/28/19 07:06
178,11178,Tea (Rose),3,2.0,01/22/19 06:14
179,11179,Mini Cheese Tart (Orginal),2,3.75,01/31/19 12:54
180,11180,Mango Yakult Refresher,1,4.75,01/13/19 12:12
181,11181,Tea (Sakura),3,2.0,01/27/19 10:56
182,11182,Macaroon (Mango),2,3.0,01/12/19 07:32
183,11183,Special Vegetarian Curry Lunch Set,1,15.0,01/24/19 14:42
184,11184,Peach Yakult Refresher,1,4.75,01/09/19 13:32
185,11185,Latte (Rose),2,4.75,01/02/19 11:41
186,11186,Tea (Green Tea),3,1.75,01/28/19 14:21
187,11187,Green Tea Yakult Refresher,1,5.0,01/26/19 07:14
188,11188,Latte (Regular),3,4.0,01/08/19 03:29
189,11189,Dalgona Coffee (Matcha - Hot),3,3.0,01/18/19 06:14
190,11190,Milk Bread (Slice),8,1.25,01/14/19 06:24
191,11191,Original Croquette,1,3.0,01/07/19 06:28
192,11192,Dalgona Coffee (Chocolate - Cold),1,3.25,01/20/19 11:30
193,11193,Dalgona Coffee (Chocolate - Cold),1,3.25,01/21/19 10:49
194,11194,Macaroon (Black Seasame),1,3.0,01/25/19 07:51
195,11195,Japanese Cheesecake (Full - Original),1,11.75,01/16/19 09:16
196,11196,Americano (Iced),1,3.5,01/16/19 10:14
197,11197,Green Tea Bun,2,2.75,01/06/19 10:18
198,11198,Tea (Lavender),4,2.0,01/27/19 06:11
199,11199,Japanese Cheesecake (Full - Original),1,11.75,01/11/19 03:29
200,11200,Macaroon (Pandan Coconut),1,3.0,01/01/19 09:34
201,11201,Dalgona Coffee (Strawberry - Cold),2,3.25,01/27/19 13:00
202,11202,Latte (Matcha),1,4.75,01/22/19 10:59
203,11203,Mini Cheese Tart (Matcha),1,3.75,01/20/19 08:52
204,11204,Mango Yakult Refresher,1,4.75,01/02/19 09:48
205,11205,Latte (Matcha),1,4.75,01/17/19 04:47
206,11206,Macaroon (Mango),4,3.0,01/20/19 06:50
207,11207,Japanese Rolled Cake (Slice - Ube),1,4.0,01/24/19 09:42
208,11208,Dalgona Coffee (Strawberry - Cold),2,3.25,01/12/19 12:09
209,11209,Latte (Rose),1,4.75,01/03/19 12:21
210,11210,Macaroon (Black Seasame),2,3.0,01/15/19 06:16
211,11211,Dalgona Coffee (Original - Hot),2,2.75,01/08/19 13:49
212,11212,Special Bulgogi Lunch Set,1,12.5,01/16/19 09:55
213,11213,Americano (Iced),1,3.5,01/24/19 11:19
214,11214,Mango Yakult Refresher,2,4.75,01/29/19 08:20
215,11215,Japanese Rolled Cake (Slice - Strawberry Cream),1,4.0,01/16/19 10:04
216,11216,Latte (Matcha),2,4.75,01/13/19 06:13
217,11217,Tea (Earl Grey),4,1.75,01/04/19 07:01
218,11218,Fruit Sando (Japanese Fruit Sando),2,4.5,01/29/19 11:39
219,11219,Latte (Matcha),1,4.75,01/06/19 12:58
220,11220,Japanese Rolled Cake (Slice - Original),1,4.0,01/10/19 06:54
221,11221,Macaroon (Pistachio),1,3.0,01/20/19 07:42
222,11222,Bulgogi Bun,2,2.75,01/19/19 10:13
223,11223,Latte (Regular),1,4.0,01/12/19 02:52
224,11224,Dalgona Coffee (Original - Hot),2,2.75,01/23/19 10:14
225,11225,Donut (Matcha),3,2.5,01/16/19 14:01
226,11226,Portguese Tart Egg Tarts (Single),15,2.0,01/16/19 09:46
227,11227,Dalgona Coffee (Chocolate - Cold),3,3.25,01/10/19 10:23
228,11228,Fruit Sando (Japanese Fruit Sando),1,4.5,01/24/19 08:38
229,11229,Macaroon (Pistachio),1,3.0,01/06/19 14:45
230,11230,Tea (Rose),2,2.0,01/06/19 09:57
231,11231,Dalgona Coffee (Strawberry - Cold),2,3.25,01/09/19 06:45
232,11232,Coffee (Hot),6,2.25,01/12/19 08:03
233,11233,Dalgona Coffee (Chocolate - Cold),2,3.25,01/07/19 08:43
234,11234,Japanese Rolled Cake (Slice - Strawberry Cream),2,4.0,01/18/19 12:19
235,11235,Dalgona Coffee (Chocolate - Cold),4,3.25,01/26/19 07:22
236,11236,Mango Yakult Refresher,2,4.75,01/15/19 08:56
237,11237,Dalgona Coffee (Original - Hot),1,2.75,01/14/19 11:32
238,11238,Japanese Rolled Cake (Slice - Strawberry Cream),3,4.0,01/29/19 08:56
239,11239,Japanese Rolled Cake (Roll - Ube),1,12.0,01/22/19 02:09
240,11240,Green Tea Banana Bread (Slice),5,1.75,01/29/19 08:47
241,11241,Donut (Matcha),1,2.5,01/09/19 04:56
242,11242,Coffee (Hot),1,2.25,01/18/19 04:17
243,11243,Latte (Regular),1,4.0,01/26/19 08:55
244,11244,Original Croquette,3,3.0,01/03/19 05:38
245,11245,Dalgona Coffee (Matcha - Cold),1,3.25,01/06/19 07:27
246,11246,Tea (Lavender),3,2.0,01/14/19 05:01
247,11247,Fruit Sando (Japanese Fruit Sando),1,4.5,01/12/19 04:20
248,11248,Green Tea Bun,1,2.75,01/20/19 07:30
249,11249,Latte (Matcha),1,4.75,01/21/19 11:56
250,11250,Dalgona Coffee (Chocolate - Cold),1,3.25,01/08/19 11:21
251,11251,Macaroon (Earl Grey),1,3.0,01/06/19 09:47
252,11252,Dalgona Coffee (Original - Cold),3,3.0,01/18/19 11:22
253,11253,Tea (Green Tea),3,1.75,01/06/19 07:56
254,11254,Latte (Matcha),1,4.75,01/21/19 07:02
255,11255,Latte (Regular),2,4.0,01/04/19 16:09
256,11256,Dalgona Coffee (Original - Cold),2,3.0,01/18/19 12:27
257,11257,Tea (Earl Grey),7,1.75,01/05/19 12:50
258,11258,Japanese Rolled Cake (Slice - Matcha),1,4.0,01/30/19 08:46
259,11259,Macaroon (Pistachio),1,3.0,01/04/19 06:02
260,11260,Tea (Rose),2,2.0,01/18/19 03:35
261,11261,Dalgona Coffee (Original - Hot),1,2.75,01/20/19 15:11
262,11262,Japanese Rolled Cake (Slice - Original),1,4.0,01/25/19 10:47
263,11263,Dalgona Coffee (Matcha - Cold),2,3.25,01/13/19 09:37
264,11264,Latte (Rose),4,4.75,01/23/19 08:35
265,11265,Macaroon (Matcha),3,3.0,01/18/19 08:27
266,11266,Mango Yakult Refresher,1,4.75,01/14/19 10:47
267,11267,Tea (Rose),2,2.0,01/19/19 07:05
268,11268,Latte (Sakura),1,4.75,01/05/19 05:54
269,11269,Coffee (Hot),1,2.25,01/19/19 05:51
270,11270,Latte (Rose),1,4.75,01/19/19 14:58
271,11271,Dalgona Coffee (Strawberry - Hot),1,3.0,01/30/19 09:23
272,11272,Japanese Cheesecake (Slice - Matcha),5,4.0,01/17/19 10:19
273,11273,Tea (Green Tea),1,1.75,01/09/19 06:39
274,11274,Dalgona Coffee (Original - Hot),2,2.75,01/14/19 05:43
275,11275,Latte (Rose),1,4.75,01/01/19 06:49
276,11276,Latte (Caramel),1,4.25,01/28/19 08:32
277,11277,Japanese Rolled Cake (Slice - Original),1,4.0,01/01/19 07:42
278,11278,Dalgona Coffee (Original - Hot),1,2.75,01/21/19 11:55
279,11279,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,01/06/19 08:53
280,11280,Americano (Hot),1,3.5,01/22/19 04:14
281,11281,Peach Yakult Refresher,2,4.75,01/24/19 08:25
282,11282,Dalgona Coffee (Matcha - Hot),1,3.0,01/23/19 09:27
283,11283,Special Japanese Pork Cutlet Lunch Set,1,12.0,01/09/19 11:28
284,11284,Dalgona Coffee (Chocolate - Hot),1,3.0,01/09/19 06:57
285,11285,Americano (Iced),1,3.5,01/11/19 11:10
286,11286,Macaroon (Vanilla),1,2.75,01/08/19 11:23
287,11287,Green Tea Yakult Refresher,1,5.0,01/04/19 06:08
288,11288,Mini Cheese Tart (Chocolate),1,3.75,01/11/19 13:03
289,11289,Macaroon (Matcha),1,3.0,01/10/19 08:44
290,11290,Mango Yakult Refresher,1,4.75,01/21/19 06:08
291,11291,Dalgona Coffee (Original - Cold),2,3.0,01/30/19 04:01
292,11292,Tea (Rose),2,2.0,01/15/19 11:38
293,11293,Dalgona Coffee (Matcha - Cold),2,3.25,01/06/19 14:17
294,11294,Americano (Iced),1,3.5,01/09/19 08:55
295,11295,Dalgona Coffee (Strawberry - Cold),2,3.25,01/20/19 10:25
296,11296,Red Bean Bun,1,2.75,01/24/19 13:08
297,11297,Dalgona Coffee (Matcha - Cold),5,3.25,01/22/19 10:35
298,11298,Japanese Rolled Cake (Roll - Strawberry Cream),1,12.0,01/28/19 11:42
299,11299,Original Croquette,2,3.0,01/27/19 13:03
300,11300,Fruit Sando (Japanese Fruit Sando),1,4.5,01/18/19 06:48
301,11301,Tea (Lavender),1,2.0,01/28/19 07:26
302,11302,Latte (Matcha),1,4.75,01/26/19 11:17
303,11303,Americano (Hot),1,3.5,01/29/19 12:27
304,11304,Special Japanese Pork Cutlet Lunch Set,1,12.0,01/09/19 10:33
305,11305,Dalgona Coffee (Matcha - Hot),1,3.0,01/12/19 05:45
306,11306,Coffee (Hot),1,2.25,01/26/19 13:10
307,11307,Macaroon (Vietnamese Coffee),1,3.0,01/23/19 08:29
308,11308,Portguese Tart Egg Tarts (Single),1,2.0,01/01/19 04:13
309,11309,Dalgona Coffee (Matcha - Cold),1,3.25,01/22/19 09:22
310,11310,Special Vegetarian Curry Lunch Set,1,15.0,01/29/19 06:13
311,11311,Donut (Red Bean),1,2.5,01/15/19 08:43
312,11312,Americano (Hot),3,3.5,01/15/19 08:55
313,11313,Dalgona Coffee (Chocolate - Cold),6,3.25,01/15/19 10:13
314,11314,Japanese Rolled Cake (Roll - Chocolate),1,12.0,01/07/19 07:44
315,11315,Original Croquette,1,3.0,01/30/19 13:02
316,11316,Green Tea Yakult Refresher,1,5.0,01/31/19 05:03
317,11317,Dalgona Coffee (Strawberry - Cold),3,3.25,01/26/19 12:47
318,11318,Latte (Regular),2,4.0,01/31/19 09:20
319,11319,Latte (Sakura),2,4.75,01/24/19 04:03
320,11320,Bulgogi Bun,1,2.75,01/10/19 14:11
321,11321,Macaroon (Strawberry),1,2.75,01/11/19 09:51
322,11322,Japanese Cheesecake (Full - Original),1,11.75,01/26/19 11:09
323,11323,Portguese Tart Egg Tarts (Single),2,2.0,01/15/19 07:07
324,11324,Green Tea Yakult Refresher,1,5.0,01/18/19 05:38
325,11325,Latte (Matcha),1,4.75,01/20/19 13:32
326,11326,Americano (Hot),1,3.5,01/17/19 05:14
327,11327,Coffee (Hot),1,2.25,01/10/19 06:52
328,11328,Latte (Matcha),2,4.75,01/01/19 11:48
329,11329,Dalgona Coffee (Original - Cold),2,3.0,01/30/19 05:34
330,11330,Americano (Iced),1,3.5,01/26/19 03:32
331,11331,Latte (Caramel),1,4.25,01/12/19 09:00
332,11332,Japanese Rolled Cake (Roll - Matcha),1,12.0,01/08/19 06:58
333,11333,Katsu Sando (Cripsy Chicken Katsu Sandwich),1,7.5,01/29/19 02:58
334,11334,Dalgona Coffee (Original - Cold),1,3.0,01/12/19 05:19
335,11335,Macaroon (Pistachio),1,3.0,01/23/19 06:29
336,11336,Dalgona Coffee (Chocolate - Cold),1,3.25,01/19/19 12:36
337,11337,Americano (Hot),2,3.5,01/22/19 08:44
338,11338,Dalgona Coffee (Original - Cold),2,3.0,01/04/19 13:08
339,11339,Latte (Caramel),1,4.25,01/14/19 08:30
340,11340,Tea (Lavender),2,2.0,01/25/19 13:16
341,11341,Original Croquette,2,3.0,01/12/19 07:40
342,11342,Latte (Caramel),2,4.25,01/20/19 14:23
343,11343,Japanese Cheesecake (Full - Original),1,11.75,01/25/19 05:33
344,11344,Tea (Rose),1,2.0,01/06/19 11:43
345,11345,Coffee (Hot),1,2.25,01/09/19 06:34
346,11346,Special Japanese Pork Cutlet Lunch Set,1,12.0,01/24/19 09:13
347,11347,Latte (Caramel),1,4.25,01/03/19 11:53
348,11348,Tamago Sando (Japanese Egg Sandwich),1,4.5,01/15/19 09:26
349,11349,Green Tea Bun,1,2.75,01/21/19 08:10
350,11350,Macaroon (Lavender),1,3.0,01/10/19 11:29
351,11351,Milk Bread (Loaf),1,4.5,01/08/19 04:55
352,11352,Latte (Rose),1,4.75,01/31/19 10:56
353,11353,Dalgona Coffee (Matcha - Hot),1,3.0,01/10/19 12:00
354,11354,Macaroon (Pandan Coconut),3,3.0,01/17/19 06:00
355,11355,Donut (Ube),1,2.5,01/02/19 11:23
356,11356,Latte (Sakura),1,4.75,01/14/19 09:12
357,11357,Tea (Earl Grey),7,1.75,01/24/19 07:53
358,11358,Special Bulgogi Lunch Set,1,12.5,01/28/19 12:16
359,11359,Dalgona Coffee (Original - Cold),1,3.0,01/08/19 06:06
360,11360,Dalgona Coffee (Strawberry - Hot),2,3.0,01/16/19 09:00
361,11361,Green Tea Yakult Refresher,1,5.0,01/17/19 05:34
362,11362,Tea (Earl Grey),1,1.75,01/04/19 06:39
363,11363,Mango Yakult Refresher,1,4.75,01/15/19 08:18
364,11364,Dalgona Coffee (Original - Hot),1,2.75,01/17/19 05:26
365,11365,Tamago Sando (Japanese Egg Sandwich),2,4.5,01/26/19 09:01
366,11366,Japanese Rolled Cake (Slice - Strawberry Cream),1,4.0,01/22/19 12:46
367,11367,Americano (Iced),1,3.5,01/27/19 10:28
368,11368,Japanese Rolled Cake (Roll - Matcha),1,12.0,01/05/19 05:21
369,11369,Mango Yakult Refresher,1,4.75,01/29/19 08:55
370,11370,Green Tea Yakult Refresher,1,5.0,01/01/19 15:16
371,11371,Latte (Regular),1,4.0,01/06/19 05:55
372,11372,Japanese Rolled Cake (Slice - Matcha),1,4.0,01/03/19 09:58
373,11373,Coffee (Iced),2,2.5,01/20/19 11:31
374,11374,Special Vegetarian Curry Lunch Set,1,15.0,01/23/19 03:59
375,11375,Japanese Rolled Cake (Roll - Strawberry Cream),2,12.0,01/05/19 13:32
376,11376,Dalgona Coffee (Original - Cold),1,3.0,01/27/19 08:37
377,11377,Milk Bread (Slice),3,1.25,01/28/19 14:17
378,11378,Special Japanese Pork Cutlet Lunch Set,1,12.0,01/26/19 07:11
379,11379,Donut (Matcha),1,2.5,01/04/19 06:51
380,11380,Latte (Regular),2,4.0,01/28/19 06:10
381,11381,Macaroon (Vanilla),1,2.75,01/04/19 06:17
382,11382,Latte (Regular),2,4.0,01/29/19 07:17
383,11383,Japanese Rolled Cake (Slice - Strawberry Cream),1,4.0,01/22/19 10:40
384,11384,Peach Yakult Refresher,2,4.75,01/26/19 06:02
385,11385,Coffee (Iced),2,2.5,01/10/19 11:28
386,11386,Latte (Regular),3,4.0,01/14/19 10:02
387,11387,Tea (Lavender),1,2.0,01/15/19 12:58
388,11388,Coffee (Iced),3,2.5,01/22/19 10:45
389,11389,Dalgona Coffee (Original - Cold),1,3.0,01/11/19 08:28
390,11390,Bulgogi Bun,2,2.75,01/04/19 05:07
391,11391,Latte (Regular),1,4.0,01/05/19 10:00
392,11392,Latte (Rose),1,4.75,01/21/19 05:59
393,11393,Macaroon (Earl Grey),1,3.0,01/20/19 07:25
394,11394,Dalgona Coffee (Original - Cold),1,3.0,01/05/19 06:33
395,11395,Macaroon (Vietnamese Coffee),1,3.0,01/28/19 06:32
396,11396,Mango Yakult Refresher,2,4.75,01/31/19 05:40
